epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
64,3133.18,0.9632,0.84879,1.20628,0.51496,0.45638,0.39819,0.18665,1.92944,1.94682,2.22616,0.0007526,0.0007526,0.0007526
65,3180.77,0.94733,0.82866,1.19552,0.43485,0.47651,0.39853,0.18864,1.93195,2.02208,2.20967,0.0007328,0.0007328,0.0007328
66,3228.15,0.9454,0.82532,1.20202,0.5229,0.43624,0.42726,0.21543,1.95415,1.97719,2.1779,0.000713,0.000713,0.000713
67,3277.33,0.93933,0.8257,1.19932,0.51099,0.4698,0.42047,0.19313,1.96312,1.91363,2.20933,0.0006932,0.0006932,0.0006932
68,3326.88,0.93453,0.81967,1.19348,0.5565,0.40268,0.41461,0.18984,1.85089,1.98783,2.11619,0.0006734,0.0006734,0.0006734
69,3375.69,0.91461,0.80083,1.18302,0.5368,0.5302,0.46267,0.20487,1.91928,1.91173,2.2457,0.0006536,0.0006536,0.0006536
70,3423.45,0.89691,0.79135,1.16777,0.5199,0.49421,0.42249,0.18293,1.91399,2.00477,2.23035,0.0006338,0.0006338,0.0006338
71,3471.86,0.89298,0.76936,1.16595,0.50523,0.44966,0.41653,0.19094,1.99245,2.05688,2.3152,0.000614,0.000614,0.000614
72,3520.87,0.88971,0.76002,1.16837,0.48338,0.44966,0.3922,0.19547,1.84321,2.06073,2.14083,0.0005942,0.0005942,0.0005942
73,3567.87,0.88866,0.75819,1.16722,0.48779,0.47651,0.36985,0.18817,1.88422,2.03602,2.1875,0.0005744,0.0005744,0.0005744
74,3616.21,0.8816,0.74934,1.15401,0.44152,0.51678,0.39464,0.19616,1.87472,2.08023,2.16038,0.0005546,0.0005546,0.0005546
75,3665.03,0.87928,0.74652,1.16293,0.45385,0.49664,0.39497,0.19103,1.9097,2.1761,2.23573,0.0005348,0.0005348,0.0005348
76,3714.4,0.85538,0.74162,1.15441,0.49012,0.43624,0.41163,0.1999,1.94327,2.00554,2.30612,0.000515,0.000515,0.000515
77,3762.94,0.8608,0.73425,1.15261,0.50628,0.41982,0.40477,0.1906,2.00098,2.1198,2.28529,0.0004952,0.0004952,0.0004952
78,3812.02,0.86719,0.72573,1.14193,0.53933,0.4698,0.43512,0.20051,1.96501,2.02039,2.27924,0.0004754,0.0004754,0.0004754
79,3861.15,0.83975,0.70501,1.13688,0.54428,0.47651,0.45383,0.21437,1.94416,1.96175,2.29041,0.0004556,0.0004556,0.0004556
80,3909.71,0.84253,0.70756,1.13529,0.52665,0.50032,0.42073,0.19601,1.96532,2.07099,2.24577,0.0004358,0.0004358,0.0004358
81,3957.29,0.83069,0.6966,1.13105,0.43147,0.47651,0.37778,0.1829,2.0124,2.13197,2.39043,0.000416,0.000416,0.000416
82,4005.23,0.83587,0.69133,1.13031,0.48656,0.43624,0.36819,0.18653,2.02,2.24783,2.36913,0.0003962,0.0003962,0.0003962
83,4053.59,0.81638,0.67709,1.12093,0.40468,0.53379,0.38407,0.18123,2.0088,2.18836,2.38421,0.0003764,0.0003764,0.0003764
84,4102.47,0.8143,0.66975,1.12775,0.4588,0.4698,0.39172,0.18714,2.04099,2.13677,2.43477,0.0003566,0.0003566,0.0003566
85,4150.02,0.81051,0.67178,1.12034,0.50837,0.44295,0.4102,0.19054,2.02766,2.11788,2.39602,0.0003368,0.0003368,0.0003368
86,4197.99,0.79702,0.66738,1.10551,0.52811,0.44966,0.39595,0.19439,2.00456,2.07957,2.42117,0.000317,0.000317,0.000317
87,4246.1,0.80387,0.66237,1.11346,0.45525,0.45992,0.35895,0.18648,1.97776,2.26583,2.35981,0.0002972,0.0002972,0.0002972
88,4294.41,0.7845,0.65823,1.10984,0.49902,0.45638,0.37142,0.1893,2.03301,2.16769,2.43368,0.0002774,0.0002774,0.0002774
89,4341.73,0.77774,0.6467,1.09591,0.48383,0.46309,0.38664,0.19572,2.01163,2.23442,2.42288,0.0002576,0.0002576,0.0002576
90,4390.64,0.77303,0.63416,1.09472,0.5632,0.44295,0.40397,0.20214,2.00625,2.12322,2.36758,0.0002378,0.0002378,0.0002378
91,4438.58,0.68836,0.50374,1.07364,0.47042,0.45638,0.38447,0.18351,2.02068,2.04958,2.37815,0.000218,0.000218,0.000218
92,4487.73,0.65408,0.46603,1.05227,0.49195,0.45491,0.39499,0.19282,2.00203,2.07796,2.40574,0.0001982,0.0001982,0.0001982
93,4537.28,0.63199,0.44851,1.03391,0.46161,0.42953,0.40706,0.20603,2.01236,2.11394,2.40152,0.0001784,0.0001784,0.0001784
94,4585.34,0.62291,0.44325,1.03614,0.49072,0.42282,0.39939,0.19872,1.98829,2.12632,2.36184,0.0001586,0.0001586,0.0001586
95,4634,0.61228,0.43518,1.02827,0.49804,0.41611,0.40643,0.19888,2.00063,2.12445,2.35672,0.0001388,0.0001388,0.0001388
96,4684.79,0.60095,0.42629,1.01487,0.44452,0.47651,0.40554,0.20394,2.00714,2.13208,2.4113,0.000119,0.000119,0.000119
97,4736.33,0.58759,0.41707,1.0133,0.54912,0.38255,0.39883,0.20052,2.02676,2.12346,2.42927,9.92e-05,9.92e-05,9.92e-05
98,4786.73,0.58933,0.4169,1.00931,0.50305,0.42953,0.40391,0.19881,2.03037,2.09697,2.43152,7.94e-05,7.94e-05,7.94e-05
99,4835.1,0.5871,0.41652,1.01188,0.49752,0.42282,0.39837,0.20194,2.00761,2.09857,2.40512,5.96e-05,5.96e-05,5.96e-05
100,4884.41,0.57654,0.4123,1.00826,0.48312,0.45638,0.42094,0.20809,2.01751,2.08406,2.42677,3.98e-05,3.98e-05,3.98e-05
